           8.00            0.08           4.096 -2.9435175148462
           8.00            0.08          16.384 5.8870330892054
           8.00            0.08          65.536 11.7740668252376
           8.00            0.08         262.144 23.5481342973007
           8.00            0.08        1048.576 -47.0962705350773
           8.00            0.16           0.001 -0.0386187387327
           8.00            0.16           0.004 -0.0772369658791
           8.00            0.16           0.016 -0.1544734201787
           8.00            0.16           0.064 -0.3089463287812
           8.00            0.16           0.256 -0.6178921459881
           8.00            0.16           1.024 -1.2357837804028
           8.00            0.16           4.096 -2.4715670492324
           8.00            0.16          16.384 -4.9431335868931
           8.00            0.16          65.536 9.8862656390656
           8.00            0.16         262.144 -19.7725328128564
           8.00            0.16        1048.576 39.5450640909652
           8.00            0.32           0.001 -0.0309038328843
           8.00            0.32           0.004 0.0618063448358
           8.00            0.32           0.016 -0.1236140105937
           8.00            0.32           0.064 0.2472267002600
           8.00            0.32           0.256 -0.4944547214447
           8.00            0.32           1.024 0.9889081219632
           8.00            0.32           4.096 -1.9778175648526
           8.00            0.32          16.384 -3.9556346893972
           8.00            0.32          65.536 -7.9112689384820
           8.00            0.32         262.144 15.8225365560454
           8.00            0.32        1048.576 31.6450735523486
           8.00            0.64           0.001 -0.0237998755162
           8.00            0.64           0.004 0.0475985441471
           8.00            0.64           0.016 0.0951974905849
           8.00            0.64           0.064 -0.1903961880485
           8.00            0.64           0.256 -0.3807919738030
           8.00            0.64           1.024 -0.7615835453124
           8.00            0.64           4.096 -1.5231666883310
           8.00            0.64          16.384 3.0463321697834
           8.00            0.64          65.536 6.0926647418501
           8.00            0.64         262.144 12.1853298860101
           8.00            0.64        1048.576 24.3706601743517
           8.00            1.28           0.001 -0.0178179580439
           8.00            1.28           0.004 -0.0356355346495
           8.00            1.28           0.016 -0.0712706878634
           8.00            1.28           0.064 -0.1425409942924
           8.00            1.28           0.256 -0.2850816071511
           8.00            1.28           1.024 0.5701620700027
           8.00            1.28           4.096 1.1403245214381
           8.00            1.28          16.384 2.2806494243088
           8.00            1.28          65.536 4.5612992299749
           8.00            1.28         262.144 -9.1225996044224
           8.00            1.28        1048.576 18.2451980702596
           8.00            2.56           0.001 -0.0130791801933
           8.00            2.56           0.004 0.0261572515385
           8.00            2.56           0.016 -0.0523156119162
           8.00            2.56           0.064 0.1046301149887
           8.00            2.56           0.256 0.2092605995908
           8.00            2.56           1.024 0.4185215687952
           8.00            2.56           4.096 0.8370435072042
           8.00            2.56          16.384 -1.6740881232505
           8.00            2.56          65.536 -3.3481758768869
           8.00            2.56         262.144 6.6963506449317
           8.00            2.56        1048.576 13.3927016594769
           8.00            5.12           0.001 0.0094736768244
           8.00            5.12           0.004 -0.0189484417983
           8.00            5.12           0.016 0.0378957954359
           8.00            5.12           0.064 -0.0757926790269
           8.00            5.12           0.256 0.1515842698959
           8.00            5.12           1.024 -0.3031696279482
           8.00            5.12           4.096 -0.6063388931773
           8.00            5.12          16.384 -1.2126774236354
           8.00            5.12          65.536 -2.4253544846964
           8.00            5.12         262.144 -4.8507086064001
           8.00            5.12        1048.576 -9.7014168543641
           8.00           10.24           0.001 -0.0068037800876
           8.00           10.24           0.004 0.0136064843639
           8.00           10.24           0.016 -0.0272140445243
           8.00           10.24           0.064 0.0544270132447
           8.00           10.24           0.256 0.1088543850886
           8.00           10.24           1.024 -0.2177098459780
           8.00           10.24           4.096 0.4354186161537
           8.00           10.24          16.384 -0.8708383080970
           8.00           10.24          65.536 -1.7416762575575
           8.00           10.24         262.144 3.4833514374218
           8.00           10.24        1048.576 6.9667032283911
          16.00            0.01           0.001 -0.0674283078019
          16.00            0.01           0.004 -0.1348527251064
          16.00            0.01           0.016 0.2696937815191
          16.00            0.01           0.064 0.5393914521365
          16.00            0.01           0.256 -1.0787945722672
          16.00            0.01           1.024 2.1575774763304
          16.00            0.01           4.096 4.3151588420038
          16.00            0.01          16.384 -8.6303293521244
          16.00            0.01          65.536 -17.2606548148626
          16.00            0.01         262.144 34.5212979615841
          16.00            0.01        1048.576 -69.0426075913163
          16.00            0.02           0.001 -0.0704447153760
          16.00            0.02           0.004 -0.1408862006187
          16.00            0.02           0.016 -0.2817691714253
          16.00            0.02           0.064 -0.5635351131989
          16.00            0.02           0.256 -1.1270669968264
          16.00            0.02           1.024 -2.2541307641215
          16.00            0.02           4.096 -4.5082582987317
          16.00            0.02          16.384 9.0165069089794
          16.00            0.02          65.536 18.0330170474458
          16.00            0.02         262.144 36.0660373243793
          16.00            0.02        1048.576 72.1320778782501
          16.00            0.04           0.001 -0.0643070129315
          16.00            0.04           0.004 -0.1286115121102
          16.00            0.04           0.016 -0.2572205106166
          16.00            0.04           0.064 -0.5144385077039
          16.00            0.04           0.256 -1.0288745019157
          16.00            0.04           1.024 -2.0577464903579
          16.00            0.04           4.096 -4.1154904672516
          16.00            0.04          16.384 -8.2309784210437
          16.00            0.04          65.536 -16.4619543286295
          16.00            0.04         262.144 -32.9239061437940
          16.00            0.04        1048.576 -65.8478097741493
          16.00            0.08           0.001 -0.0544235669044
          16.00            0.08           0.004 -0.1088451025822
          16.00            0.08           0.016 -0.2176881740062
          16.00            0.08           0.064 -0.4353743168884
          16.00            0.08           0.256 -0.8707466026699
          16.00            0.08           1.024 -1.7414911742414
          16.00            0.08           4.096 -3.4829803173885
          16.00            0.08          16.384 -6.9659586036859
          16.00            0.08          65.536 13.9319111140964
          16.00            0.08         262.144 -27.8638283214378
          16.00            0.08        1048.576 55.7276505496141
          16.00            0.16           0.001 -0.0436545634046
          16.00            0.16           0.004 -0.0873073689575
          16.00            0.16           0.016 -0.1746129801021
          16.00            0.16           0.064 -0.3492242024109
          16.00            0.16           0.256 -0.6984466470380
          16.00            0.16           1.024 -1.3968915362974
          16.00            0.16           4.096 -2.7937813148181
          16.00            0.16          16.384 -5.5875608718664
          16.00            0.16          65.536 11.1751164704122
          16.00            0.16         262.144 -22.3502382141565
